dates    amo    ???
1923.83   -0.21800   0.00 
1923.92   -0.06300   0.00 
1924.00   -0.13300   0.00 
1924.08   -0.20100   0.00 
1924.17   -0.10700   0.00 
1924.25   -0.05900   0.00 
1924.33    0.04300   0.00 
1924.42   -0.10000   0.00 
1924.50   -0.12800   0.00 
1924.58   -0.14000   0.00 
1924.67   -0.20600   0.00 
1924.75   -0.23800   0.00 
1924.83   -0.31800   0.00 
1924.92   -0.29000   0.00 
1925.00   -0.32800   0.00 
1925.08   -0.31300   0.00 
1925.17   -0.24100   0.00 
1925.25   -0.18200   0.00 
1925.33   -0.08000   0.00 
1925.42   -0.19200   0.00 
1925.50   -0.14700   0.00 
1925.58   -0.13500   0.00 
1925.67   -0.12300   0.00 
1925.75   -0.09000   0.00 
1925.83   -0.17500   0.00 
1925.92    0.04300   0.00 
1926.00    0.03100   0.00 
1926.08    0.10400   0.00 
1926.17    0.04300   0.00 
1926.25    0.10500   0.00 
1926.33    0.12200   0.00 
1926.42    0.06500   0.00 
1926.50    0.13700   0.00 
1926.58    0.04800   0.00 
1926.67    0.03800   0.00 
1926.75    0.17300   0.00 
1926.83    0.02300   0.00 
1926.92    0.08500   0.00 
1927.00    0.07600   0.00 
1927.08    0.07200   0.00 
1927.17    0.03600   0.00 
1927.25    0.06400   0.00 
1927.33    0.18800   0.00 
1927.42    0.15000   0.00 
1927.50    0.15100   0.00 
1927.58    0.15300   0.00 
1927.67    0.10000   0.00 
1927.75    0.16900   0.00 
1927.83    0.13300   0.00 
1927.92   -0.02800   0.00 
1928.00   -0.05000   0.00 
1928.08   -0.09900   0.00 
1928.17   -0.09800   0.00 
1928.25   -0.10300   0.00 
1928.33    0.01300   0.00 
1928.42    0.06200   0.00 
1928.50    0.08100   0.00 
1928.58    0.09700   0.00 
1928.67    0.08300   0.00 
1928.75    0.03700   0.00 
1928.83   -0.05600   0.00 
1928.92   -0.09500   0.00 
1929.00   -0.09200   0.00 
1929.08   -0.10500   0.00 
1929.17   -0.09400   0.00 
1929.25   -0.02000   0.00 
1929.33   -0.11500   0.00 
1929.42   -0.19700   0.00 
1929.50   -0.18400   0.00 
1929.58   -0.15900   0.00 
1929.67   -0.06900   0.00 
1929.75   -0.05800   0.00 
1929.83   -0.11800   0.00 
1929.92   -0.19000   0.00 
1930.00   -0.12800   0.00 
1930.08   -0.18000   0.00 
1930.17   -0.09900   0.00 
1930.25   -0.21500   0.00 
1930.33   -0.11500   0.00 
1930.42   -0.08500   0.00 
1930.50    0.05600   0.00 
1930.58    0.06500   0.00 
1930.67    0.28300   0.00 
1930.75    0.19700   0.00 
