dates values
1999.16975 0
1999.17248 0
1999.17522 0
1999.17796 0
1999.1807 0
1999.18344 0
1999.18617 0
1999.18891 0
1999.19165 0
1999.19439 0
1999.19713 0
1999.19986 0
1999.2026 0
1999.20534 0
1999.20808 0
1999.21081 0
1999.21355 0
1999.21629 0
1999.21903 0
1999.22177 0
1999.2245 0
1999.22724 0
1999.22998 0
1999.23272 0
1999.23546 0
1999.23819 0
1999.24093 0
1999.24367 0
1999.24641 0
1999.24914 0
1999.25188 0
1999.25462 0
1999.25736 0
1999.2601 0
1999.26283 0
1999.26557 0
1999.26831 0
1999.27105 0
1999.27379 0
1999.27652 0
1999.27926 0
1999.282 0
1999.28474 0
1999.28747 0
1999.29021 0
1999.29295 0
1999.29569 0
1999.29843 0
1999.30116 0
1999.3039 1
1999.30664 0
1999.30938 0
1999.31211 0
1999.31485 0
1999.31759 0
1999.32033 0
1999.32307 0
1999.3258 0
1999.32854 0
1999.33128 0
1999.33402 0
1999.33676 1
1999.33949 0
1999.34223 0
1999.34497 0
1999.34771 0
1999.35044 0
1999.35318 0
1999.35592 0
1999.35866 0
1999.3614 0
1999.36413 0
1999.36687 0
1999.36961 0
1999.37235 0
1999.37509 0
1999.37782 0
1999.38056 0
1999.3833 0
1999.38604 0
1999.38877 0
1999.39151 0
1999.39425 0
1999.39699 0
1999.39973 0
1999.40246 0
1999.4052 0
1999.40794 0
1999.41068 0
1999.41342 0
1999.41615 0
1999.41889 0
1999.42163 0
1999.42437 0
1999.4271 0
1999.42984 0
1999.43258 0
1999.43532 0
1999.43806 0
1999.44079 0
1999.44353 0
1999.44627 0
1999.44901 0
1999.45175 0
1999.45448 0
1999.45722 0
1999.45996 0
1999.4627 0
1999.46543 0
1999.46817 0
1999.47091 0
1999.47365 0
1999.47639 0
1999.47912 0
1999.48186 0
1999.4846 0
1999.48734 0
1999.49008 0
1999.49281 0
1999.49555 0
1999.49829 0
1999.50103 0
1999.50376 0
1999.5065 0
1999.50924 0
1999.51198 0
1999.51472 0
1999.51745 0
1999.52019 0
1999.52293 0
1999.52567 0
1999.52841 0
1999.53114 0
1999.53388 0
1999.53662 0
1999.53936 0
1999.54209 0
1999.54483 0
1999.54757 0
1999.55031 0
1999.55305 0
1999.55578 0
1999.55852 0
1999.56126 0
1999.564 0
1999.56674 0
1999.56947 0
1999.57221 0
1999.57495 0
1999.57769 0
1999.58042 0
1999.58316 0
1999.5859 0
1999.58864 0
1999.59138 0
1999.59411 0
1999.59685 0
1999.59959 0
1999.60233 0
1999.60507 0
1999.6078 0
1999.61054 0
1999.61328 0
1999.61602 0
1999.61875 0
1999.62149 0
1999.62423 0
1999.62697 0
1999.62971 0
1999.63244 0
1999.63518 0
1999.63792 0
1999.64066 0
1999.64339 0
1999.64613 0
1999.64887 0
1999.65161 0
1999.65435 0
1999.65708 0
1999.65982 0
1999.66256 0
1999.6653 0
1999.66804 0
1999.67077 0
1999.67351 0
1999.67625 0
1999.67899 0
1999.68172 0
1999.68446 0
1999.6872 0
1999.68994 0
1999.69268 0
1999.69541 0
1999.69815 0
1999.70089 0
1999.70363 0
1999.70637 0
1999.7091 0
